date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company_public_response,company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,complaint_id,clean_text,year_month,word_count
2025-06-15,mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,Changes in loan terms during the application process,"I signed a purchase agreement with Lennar Corporation on XX/XX/year>, for a new construction home in XXXX, Illinois that was not scheduled to be built until XXXX of XXXX. I submitted a total deposit of {$15000.00} based on monthly mortgage payment estimates and a home price that were provided to me by Lennars representatives. These payment figures were communicated informally through text messages, emails and not through proper loan disclosures. 

After I paid the full deposit, Lennar informed me that those numbers were incorrect and that I could no longer receive the previously quoted terms. Their disclosures also changed multiple times, and after I raised concerns, Lennar revoked my access to their loan portal preventing me from reviewing or documenting the various versions of those disclosures.

When I asked for a refund based on these errors, Lennar refused. Instead, they stated that I was in default and would lose the entire deposit unless I agreed to purchase another Lennar home. I do not want to continue doing business with Lennar under these circumstances.

I believe this situation involves misrepresentation, failure to disclose accurate loan terms in writing before requesting funds, and financial coercion. I was pressured to increase my deposit based on figures that turned out to be inaccurate, and now Lennar is using the contract to justify keeping the deposit after altering key terms.

I am requesting a full or partial refund of my {$15000.00} deposit and for the CFPB to investigate whether Lennar and/or its affiliated lender violated federal consumer finance laws including the Truth in Lending Act and protections against unfair, deceptive, or abusive acts or practices ( UDAAP ).",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Lennar Financial Services, LLC",IL,60538,,Consent provided,Web,6/15/2025,Closed with explanation,Yes,,14089944,"i signed a purchase agreement with lennar corporation on xxxxyear, for a new construction home in xxxx, illinois that was not scheduled to be built until xxxx of xxxx. i submitted a total deposit of 15000.00 based on monthly mortgage payment estimates and a home price that were provided to me by lennars representatives. these payment figures were communicated informally through text messages, emails and not through proper loan disclosures. after i paid the full deposit, lennar informed me that those numbers were incorrect and that i could no longer receive the previously quoted terms. their disclosures also changed multiple times, and after i raised concerns, lennar revoked my access to their loan portal preventing me from reviewing or documenting the various versions of those disclosures. when i asked for a refund based on these errors, lennar refused. instead, they stated that i was in default and would lose the entire deposit unless i agreed to purchase another lennar home. i do not want to continue doing business with lennar under these circumstances. i believe this situation involves misrepresentation, failure to disclose accurate loan terms in writing before requesting funds, and financial coercion. i was pressured to increase my deposit based on figures that turned out to be inaccurate, and now lennar is using the contract to justify keeping the deposit after altering key terms. i am requesting a full or partial refund of my 15000.00 deposit and for the cfpb to investigate whether lennar andor its affiliated lender violated federal consumer finance laws including the truth in lending act and protections against unfair, deceptive, or abusive acts or practices udaap .",2025-06,272
2025-06-13,credit_card,Store credit card,Getting a credit card,Card opened without my consent or knowledge,"A XXXX XXXX card was opened under my name by a fraudster. I received a notice from XXXX  that an account was just opened under my name. I reached out to XXXX XXXX to state that this activity was unauthorized and not me. XXXX XXXX confirmed this was fraudulent and immediately closed the card. However, they have failed to remove this from the three credit agencies and this fraud is now impacting my credit score based on a hard credit pull done by XXXX XXXX that was done by a fraudster.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",TX,78230,Servicemember,Consent provided,Web,6/13/2025,Closed with non-monetary relief,Yes,,14069121,"a xxxx xxxx card was opened under my name by a fraudster. i received a notice from xxxx that an account was just opened under my name. i reached out to xxxx xxxx to state that this activity was unauthorized and not me. xxxx xxxx confirmed this was fraudulent and immediately closed the card. however, they have failed to remove this from the three credit agencies and this fraud is now impacting my credit score based on a hard credit pull done by xxxx xxxx that was done by a fraudster.",2025-06,91
2025-06-13,savings,Checking account,Managing an account,Deposits and withdrawals,"I made the mistake of using my wellsfargo debit card to depsit funds Into XXXXXXXX ATM machine outside their branch. 

I went into the branch and was told they couldn't help and had to phone the customer service for help. I did this and was told I was helped gave all the info for the time terminal id aact # s, XXXX was able to find the transaction and give me this info, he said the dispute would take a few days. 

I waited a few days and got a letter stating my dispute was rejected. I went back into XXXX and they said they never got the transaction.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,ID,83815,,Consent provided,Web,6/13/2025,Closed with explanation,Yes,,14061897,"i made the mistake of using my wellsfargo debit card to depsit funds into xxxxxxxx atm machine outside their branch. i went into the branch and was told they couldnt help and had to phone the customer service for help. i did this and was told i was helped gave all the info for the time terminal id aact s, xxxx was able to find the transaction and give me this info, he said the dispute would take a few days. i waited a few days and got a letter stating my dispute was rejected. i went back into xxxx and they said they never got the transaction.",2025-06,108
2025-06-12,credit_card,General-purpose credit card or charge card,"Other features, terms, or problems",Other problem,"Dear CFPB, I have a secured credit card with citibank which is changed to unsecured card and I have been calling n waitting for the check release the secured amount {$2500.00} for rhat credit card. They told me to wait then today they told me someone cashed my check but their system doesnt have info as of who, where and when did it happen!!

I requested a case number but they wont send me any confirmation whatsoever to report to the police.

They told me I have to wait for some form that might be sent to me via mail within 14 days to fill out. I called customer service second time today and their manager told me same thing, no info no help at all! Please help me, it's a big bank but the service is so terrible and lil customer like me can do nothing! Thank so much and look forward for your reply!",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",NY,11220,,Consent provided,Web,6/13/2025,Closed with monetary relief,Yes,,14047085,"dear cfpb, i have a secured credit card with citibank which is changed to unsecured card and i have been calling n waitting for the check release the secured amount 2500.00 for rhat credit card. they told me to wait then today they told me someone cashed my check but their system doesnt have info as of who, where and when did it happen!! i requested a case number but they wont send me any confirmation whatsoever to report to the police. they told me i have to wait for some form that might be sent to me via mail within 14 days to fill out. i called customer service second time today and their manager told me same thing, no info no help at all! please help me, its a big bank but the service is so terrible and lil customer like me can do nothing! thank so much and look forward for your reply!",2025-06,156
2025-06-12,debt_collection,Telecommunications debt,Attempts to collect debt not owed,Debt is not yours,"As I was reviewing a new dispute with XXXX XXXX XXXX. I saw that a previous dispute that I believed to be resolved was still on my credit report. 

This company called me daily for months, once I talked to them they would not give me information and tried to get me to pay half to resolve it. They have no additional information and did not care that it was potential fraud. 

When I threatened legal/government action they stopped and it seemed to be resolved.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SUNRISE CREDIT SERVICES, INC",IN,462XX,,Consent provided,Web,6/12/2025,Closed with explanation,Yes,,14035403,"as i was reviewing a new dispute with xxxx xxxx xxxx. i saw that a previous dispute that i believed to be resolved was still on my credit report. this company called me daily for months, once i talked to them they would not give me information and tried to get me to pay half to resolve it. they have no additional information and did not care that it was potential fraud. when i threatened legalgovernment action they stopped and it seemed to be resolved.",2025-06,85
2025-06-12,debt_collection,Telecommunications debt,False statements or representation,Indicated you were committing crime by not paying debt,"SUNRISE CREDIT SERVI, I am unaware of this debt and did not have the opportunity to dispute this account. If you believe you send proper notification. Please provide by certified mail, with receipt displaying my signature, if not, please delete this account as soon as possible, or I will have to take legal actions.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SUNRISE CREDIT SERVICES, INC",TX,77083,,Consent provided,Web,6/12/2025,Closed with explanation,Yes,,14039249,"sunrise credit servi, i am unaware of this debt and did not have the opportunity to dispute this account. if you believe you send proper notification. please provide by certified mail, with receipt displaying my signature, if not, please delete this account as soon as possible, or i will have to take legal actions.",2025-06,54
2025-06-12,credit_card,General-purpose credit card or charge card,Incorrect information on your report,Account information incorrect,"I have a Citi rewards cards. The credit balance issued to me was {$8400.00}. I recently moved, which meant my bills would be lowered, which meant I'd have LESS use for my credit cards. So in order to keep my usage in a generally good area I used each of my cards with the intention to pay them down monthly which would result in a boost to my credit score, showing creditors I can pay doen. All of my cards are in good standing. My credit is in good standing. But on the XXXX XXXX XXXX Citi abruptly slashes the balance of my card from {$8400.00} down to {$5400.00} and sends me a message that I have just about reached my credit limit. I contacted them and all they said was consult a letter they emailed on the XXXX. The slashing action was taken the day OF the letter ( XXXX ) and I had no recourse to respond nor was I even aware of this action prior to the notification about reaching my limit, which I received on or about the XXXX of XXXX. This is an egregious act that not only blindsided me but manipulates my account to make it APPEAR that I'm close to reaching the limit, when in fact I was no where near the limit. This could negatively impact my credit score through no fault of my own.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",IL,60067,,Consent provided,Web,6/12/2025,Closed with explanation,Yes,,14040217,"i have a citi rewards cards. the credit balance issued to me was 8400.00. i recently moved, which meant my bills would be lowered, which meant id have less use for my credit cards. so in order to keep my usage in a generally good area i used each of my cards with the intention to pay them down monthly which would result in a boost to my credit score, showing creditors i can pay doen. all of my cards are in good standing. my credit is in good standing. but on the xxxx xxxx xxxx citi abruptly slashes the balance of my card from 8400.00 down to 5400.00 and sends me a message that i have just about reached my credit limit. i contacted them and all they said was consult a letter they emailed on the xxxx. the slashing action was taken the day of the letter xxxx and i had no recourse to respond nor was i even aware of this action prior to the notification about reaching my limit, which i received on or about the xxxx of xxxx. this is an egregious act that not only blindsided me but manipulates my account to make it appear that im close to reaching the limit, when in fact i was no where near the limit. this could negatively impact my credit score through no fault of my own.",2025-06,231
2025-06-12,debt_collection,I do not know,Attempts to collect debt not owed,Debt was result of identity theft,"Consumer Financial Protection Bureau ( CFPB ) P.O. XXXX XXXX Washington XXXX DC XXXX Subject : Complaint Against Sunrise Credit Services False Reporting and Identity Theft Dear CFPB Representative, I am filing this formal complaint against Sunrise Credit Services Group, who is inaccurately reporting a debt in my name and falsely claiming to be the original creditor. I have disputed this directly with them, but they continue to misrepresent the nature and origin of the debt. 

I have notified Sunrise Credit Services that : I do not owe this debt, and I have never opened an account with Sunrise. 
I am a victim of identity theft, which may have occurred due to a data breach involving my personal information.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SUNRISE CREDIT SERVICES, INC",FL,336XX,,Consent provided,Web,6/12/2025,Closed with explanation,Yes,,14040475,"consumer financial protection bureau cfpb p.o. xxxx xxxx washington xxxx dc xxxx subject complaint against sunrise credit services false reporting and identity theft dear cfpb representative, i am filing this formal complaint against sunrise credit services group, who is inaccurately reporting a debt in my name and falsely claiming to be the original creditor. i have disputed this directly with them, but they continue to misrepresent the nature and origin of the debt. i have notified sunrise credit services that i do not owe this debt, and i have never opened an account with sunrise. i am a victim of identity theft, which may have occurred due to a data breach involving my personal information.",2025-06,115
2025-06-11,debt_collection,I do not know,False statements or representation,Attempted to collect wrong amount,"VALIDATION AND CEASE AND DESIST Account : To whom it may concern, I received a debt collection letter from you. Do you have the right person? Can you supply me with a contract or agreement signed with your company or the Creditor? 
PURSUANT TO THE FDCPA, I WOULD LIKE THE FOLLOWING PROVIDED : THE NAME AND ADDRESS OF THE ORIGINAL AND CURRENT CREDITOR VERIFICATION OF THE DEBT AMOUNT THAT YOU ARE SEEKING TO COLLECT SHOWING THAT A CONTRACT EXISTS CREATE THE AMOUNT THAT YOU CLAIM IS OWED. 
ALL THE ASSIGNMENTS SHOWING THE DEBT TRANSFER FROM THE ORIGINAL CREDITOR TO THE CURRENT CREDITOR PLEASE PROVIDE ME WITH PROOF THE DEBT WAS SECURITIZED BY THE ORIGINAL CREDITOR PLEASE SHOW THE ASSIGNMENTS OF THE DEBT FROM THE ORIGINAL CREDITOR TO THE SECURED TRUST AND THEN BACK TO THE ORIGINAL CREDITOR PLEASE CEASE AND DESIST FROM COLLECTING ON THIS DEBT UNTIL YOU HAVE VALIDATED THE DEBT. 
Please do not look at my credit report or report anything to my credit I dispute I owe this debt amount to you and that dispute should be stated on my credit report if you have reported this debt. 
PERMISSABLE PURPOSE Please state why you have a permissible purpose to contact my credit. I dispute this. 
IF YOU PASS THIS ON TO ANOTHER COLLECTOR I dispute I owe this debt to you. If you pass this on to another debt collector, please provide them notice of my dispute to owing the debt. Thank you for your immediate cooperat",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"I.C. System, Inc.",TX,751XX,,Consent provided,Web,6/11/2025,Closed with explanation,Yes,,14021210,"validation and cease and desist account to whom it may concern, i received a debt collection letter from you. do you have the right person? can you supply me with a contract or agreement signed with your company or the creditor? pursuant to the fdcpa, i would like the following provided the name and address of the original and current creditor verification of the debt amount that you are seeking to collect showing that a contract exists create the amount that you claim is owed. all the assignments showing the debt transfer from the original creditor to the current creditor please provide me with proof the debt was securitized by the original creditor please show the assignments of the debt from the original creditor to the secured trust and then back to the original creditor please cease and desist from collecting on this debt until you have validated the debt. please do not look at my credit report or report anything to my credit i dispute i owe this debt amount to you and that dispute should be stated on my credit report if you have reported this debt. permissable purpose please state why you have a permissible purpose to contact my credit. i dispute this. if you pass this on to another collector i dispute i owe this debt to you. if you pass this on to another debt collector, please provide them notice of my dispute to owing the debt. thank you for your immediate cooperat",2025-06,248
2025-06-09,credit_card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"b'I am writing to dispute the following charges on my CITI Credit Card Accounts where I have become a victim of identity theft when someone made a purchase without my authorization, I have not made any purchases and have no knowledge of them, I strongly believe the unauthorized transaction are the result of identity theft. An attachment fromXX/XX/XXXXshowing a new address for me is also fraudulent, I do not have or lived in Murfreesboro, TN  XX/XX/XXXX, thats when I became aware of the fraudulent charges. I then started the communications with CITI, XX/XX/XXXXabout the unauthorized fraudulent charge, I also included statements, credit score negative points due to inaccurate charges. After several attempts to clear this matter, it has become apparent that I am being ignored by CITI. I am not sure how to proceed to try and get the right help to clear this matter. I am hoping I have reached the correct CITI group to clear this matter.\n\nAccount Opened: XX/XX/XXXXcredit card number:XX/XX/XXXXn1.\tCharge #1 of XX/XX/XXXX Charge amount was disputed and CITI closed account and mailed a 2nd different account.\nNew CITI credit card replacement: XX/XX/XXXXn XX/XX/XXXXtCharge #2 interest charge and previously monthly payment total: XX/XX/XXXX dollars. Charge amount was disputed and CITI closed account and mailed a 3rd  different account.\nNew CITI credit card replacemenXX/XX/XXXX\tCharge #3 interest charge including previously monthly payment total XX/XX/XXXX\nI have made three (3) phone call attempts to phone numberXX/XX/XXXX between March 4, 2025 thrXX/XX/XXXX to CITI to resolve the unauthorized charges with CITI to no avail. In return CITI has closed the original credit card with the credit card numbers as listed above but has kept transferring the unauthorized charges of the original credit card that was opened on XX/XX/XXXXo the new credit card accounts. CITI needs to remove all charges and credit my account showing a zero balance, I did not make any purchases whatsoever and I should not be responsible for any payments. CITI has turned in a late payment exceeding 30 days to the credit bureau and it has cost me a negative ofXX/XX/XXXX points. I have lost all faith in communicating with CITI by telephone to resolve this issue that is extremely frustrating. I need help to clear this matter.\n\nI am requesting that you immediately remove these charges from my account and credit my account for the total amount ofXX/XX/XXXXdollars. I also request that you investigate these unauthorized transaction and take steps to prevent future fraudulent charges to my account.\n\nI have attached copies of my credit card statement and other documents that support my claim.\n\nPlease send me written confirmation that you have removed the fraudulent charges and credited my account, and also that you have investigated the matter.\n\nThank you for your prompt attention to this matter.'",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",TX,78413,Older American,Consent provided,Web,6/9/2025,Closed with monetary relief,Yes,,13968411,"bi am writing to dispute the following charges on my citi credit card accounts where i have become a victim of identity theft when someone made a purchase without my authorization, i have not made any purchases and have no knowledge of them, i strongly believe the unauthorized transaction are the result of identity theft. an attachment fromxxxxxxxxshowing a new address for me is also fraudulent, i do not have or lived in murfreesboro, tn xxxxxxxx, thats when i became aware of the fraudulent charges. i then started the communications with citi, xxxxxxxxabout the unauthorized fraudulent charge, i also included statements, credit score negative points due to inaccurate charges. after several attempts to clear this matter, it has become apparent that i am being ignored by citi. i am not sure how to proceed to try and get the right help to clear this matter. i am hoping i have reached the correct citi group to clear this matter.nnaccount opened xxxxxxxxcredit card numberxxxxxxxxn1.tcharge 1 of xxxxxxxx charge amount was disputed and citi closed account and mailed a 2nd different account.nnew citi credit card replacement xxxxxxxxn xxxxxxxxtcharge 2 interest charge and previously monthly payment total xxxxxxxx dollars. charge amount was disputed and citi closed account and mailed a 3rd different account.nnew citi credit card replacemenxxxxxxxxtcharge 3 interest charge including previously monthly payment total xxxxxxxxni have made three 3 phone call attempts to phone numberxxxxxxxx between march 4, 2025 thrxxxxxxxx to citi to resolve the unauthorized charges with citi to no avail. in return citi has closed the original credit card with the credit card numbers as listed above but has kept transferring the unauthorized charges of the original credit card that was opened on xxxxxxxxo the new credit card accounts. citi needs to remove all charges and credit my account showing a zero balance, i did not make any purchases whatsoever and i should not be responsible for any payments. citi has turned in a late payment exceeding 30 days to the credit bureau and it has cost me a negative ofxxxxxxxx points. i have lost all faith in communicating with citi by telephone to resolve this issue that is extremely frustrating. i need help to clear this matter.nni am requesting that you immediately remove these charges from my account and credit my account for the total amount ofxxxxxxxxdollars. i also request that you investigate these unauthorized transaction and take steps to prevent future fraudulent charges to my account.nni have attached copies of my credit card statement and other documents that support my claim.nnplease send me written confirmation that you have removed the fraudulent charges and credited my account, and also that you have investigated the matter.nnthank you for your prompt attention to this matter.",2025-06,454
